Agency,Organization,Account Type,Character Code,Object,2015,2016,2017,2018
44 -  STREETS,44223 - ST BRUSH COLLECTION,Revenue,43 - CHARGES FOR SERVICES,43425 - REFUSE COLLECTION,-181823.04,-69220.50,-799.00,-1037.00
31 -  POLICE,31280 - INFO MGT AND TECHNOLOGY,Revenue,42 - INTERGOV REVENUES,42310 - LOCAL REVENUES OPERATING,-179751.21,-147379.70,-170765.77,-158646.39
51 -  PARKS,51242 - PARK MTC WEST PARKS,Revenue,49 - TRANSFER IN,49150 - TRANSFER IN FROM PERMANENT,-175000.00,-175000.00,-175000.00,0.00
31 -  POLICE,31100 - POLICE FIELD,Revenue,43 - CHARGES FOR SERVICES,43220 - POLICE SERVICES,-161783.71,-269510.32,-314055.56,-175048.01
40 -  ENGINEERING,40470 - ENG FAC MAINT ADMIN,Revenue,43 - CHARGES FOR SERVICES,43522 - FACILITY RENTAL,-125585.31,-97123.69,-4965.37,0.00
51 -  PARKS,51170 - PARK COM REC GOODMAN POOL,Revenue,43 - CHARGES FOR SERVICES,43525 - ADMISSIONS,-121590.12,-132131.10,-114902.54,-123753.33
51 -  PARKS,51180 - PARK COM REC OLBRICH GENERAL,Revenue,43 - CHARGES FOR SERVICES,43522 - FACILITY RENTAL,-121124.26,-117099.57,-126670.68,-83492.24
31 -  POLICE,31166 - TRAINING CENTER,Revenue,43 - CHARGES FOR SERVICES,43522 - FACILITY RENTAL,-110526.55,-112996.40,-95257.00,-59305.92
17 -  INFORMATION TECHNOLOGY,17200 - IT TECHNICAL SERVICES,Expense,58 - INTER DEPART BILLING,58186 - ID BILLING TO WATER,-108871.00,-107868.00,-111504.00,-119700.00
17 -  INFORMATION TECHNOLOGY,17200 - IT TECHNICAL SERVICES,Expense,58 - INTER DEPART BILLING,58185 - ID BILLING TO TRANSIT,-107060.00,-103020.00,-110292.00,-114660.00
31 -  POLICE,31155 - TRAFFIC AND SPECIAL SERVICES,Revenue,49 - TRANSFER IN,49123 - TRANSFER IN FROM GRANTS,-105113.23,0.00,0.00,0.00
19 -  MAYOR,19100 - MAYOR,Revenue,47 - MISC REVENUE,47190 - MISCELLANEOUS REVENUE,-102500.00,0.00,0.00,0.00
17 -  INFORMATION TECHNOLOGY,17200 - IT TECHNICAL SERVICES,Expense,58 - INTER DEPART BILLING,58191 - ID BILLING TO CDA,-101284.00,-104469.00,-103487.00,-113746.00
51 -  PARKS,51170 - PARK COM REC GOODMAN POOL,Revenue,46 - INVEST OTHER CONTRIB,46310 - CONTRIBUTIONS AND DONATIONS,-100965.40,-72886.41,-82178.00,-69467.00
51 -  PARKS,51190 - PARK COM REC WPCRC GENERAL,Revenue,43 - CHARGES FOR SERVICES,43522 - FACILITY RENTAL,-98667.63,-118625.11,-121096.83,-114527.70
30 -  FIRE,30240 - FIRE GENERAL PREVENTION,Revenue,47 - MISC REVENUE,47190 - MISCELLANEOUS REVENUE,-95362.50,-103890.00,-92455.00,-135418.50
45 -  TRAFFIC ENGINEERING,45100 - TE SIGNING,Expense,58 - INTER DEPART BILLING,58140 - ID BILLING TO ENGINEERING,-95278.75,-1667.07,-188.13,-550.00
31 -  POLICE,31149 - TASK FORCE,Revenue,42 - INTERGOV REVENUES,42310 - LOCAL REVENUES OPERATING,-95115.96,-1871.05,0.00,0.00
62 -  COMMUNITY DEVELOPMENT,62551 - CD DIVISION 27 PRGM ADMIN,Expense,58 - INTER DEPART BILLING,58120 - ID BILLING TO MUNICIPAL COURT,-91643.00,0.00,0.00,0.00
45 -  TRAFFIC ENGINEERING,45400 - TE COMM,Revenue,42 - INTERGOV REVENUES,42410 - OTHER UNIT OF GOV REVENUES OP,-91313.90,-179816.06,-107281.76,-80188.04
51 -  PARKS,51210 - PARK MTC FOREST ADMIN,Revenue,43 - CHARGES FOR SERVICES,43710 - REIMBURSEMENT OF EXPENSE,-88357.83,-93388.62,-28.44,-0.52
45 -  TRAFFIC ENGINEERING,45400 - TE COMM,Expense,58 - INTER DEPART BILLING,58131 - ID BILLING TO POLICE,-87143.27,-211410.47,-213879.05,-276914.76
31 -  POLICE,31102 - FIELD GENERAL OVERALL,Revenue,49 - TRANSFER IN,49123 - TRANSFER IN FROM GRANTS,-86326.03,0.00,0.00,0.00
50 -  LIBRARY,50300751 - LIB COL RES & ACCESS CENTRAL,Revenue,43 - CHARGES FOR SERVICES,43110 - REPRODUCTION SERVICES,-85934.85,-93999.07,-92631.35,-89523.03
30 -  FIRE,30120 - FIRE MEDICAL PROGRAM GENERAL,Revenue,43 - CHARGES FOR SERVICES,43225 - SPECIAL DUTY,-83383.57,-104093.20,-128038.28,-73087.37
44 -  STREETS,44110 - ST REFUSE COLLECTION,Revenue,43 - CHARGES FOR SERVICES,43425 - REFUSE COLLECTION,-83128.62,-144416.80,-71700.90,-32219.55
31 -  POLICE,31165 - TRAINING SERVICES GENERAL,Revenue,42 - INTERGOV REVENUES,42210 - STATE REVENUES OPERATING,-80000.00,-120000.00,-130000.00,-140000.00
51 -  PARKS,51160 - PARK COM REC REC SERVICES,Revenue,43 - CHARGES FOR SERVICES,43520 - CATERING CONCESSIONS,-79600.25,-57089.85,-62151.09,-85740.86
40 -  ENGINEERING,40470 - ENG FAC MAINT ADMIN,Expense,58 - INTER DEPART BILLING,58165 - ID BILLING TO PLANNING,-79364.00,-79364.00,-79364.00,-79364.00
51 -  PARKS,51180 - PARK COM REC OLBRICH GENERAL,Revenue,42 - INTERGOV REVENUES,42310 - LOCAL REVENUES OPERATING,-73065.31,-74413.16,-77567.51,-80980.48
51 -  PARKS,51150 - PARK COM REC COM SERVICES,Revenue,43 - CHARGES FOR SERVICES,43522 - FACILITY RENTAL,-72688.00,-100224.37,-14053.42,-14113.57
17 -  INFORMATION TECHNOLOGY,17200 - IT TECHNICAL SERVICES,Expense,58 - INTER DEPART BILLING,58180 - ID BILLING TO MONONA TERRACE,-65340.00,-61812.00,-63024.00,-65520.00
50 -  LIBRARY,50300751 - LIB COL RES & ACCESS CENTRAL,Revenue,42 - INTERGOV REVENUES,42410 - OTHER UNIT OF GOV REVENUES OP,-65283.39,-66801.00,-67077.00,-67748.43
45 -  TRAFFIC ENGINEERING,45500 - TE SIGNALS,Expense,57 - INTER DEPART CHARGES,57140 - ID CHARGE FROM ENGINEERING,-63972.24,-49280.07,-64253.92,-82807.72
40 -  ENGINEERING,40470 - ENG FAC MAINT ADMIN,Expense,58 - INTER DEPART BILLING,58160 - ID BILLING TO BUILDING INSPEC,-62598.00,-62598.00,-62598.00,-62598.00
45 -  TRAFFIC ENGINEERING,45500 - TE SIGNALS,Expense,57 - INTER DEPART CHARGES,57141 - ID CHARGE FROM FLEET SERVICES,-60600.53,-93501.38,-40963.32,-50180.83
51 -  PARKS,51190 - PARK COM REC WPCRC GENERAL,Revenue,43 - CHARGES FOR SERVICES,43535 - PROGRAM REVENUE,-58824.35,-52580.85,-69854.85,-35649.36
31 -  POLICE,31100 - POLICE FIELD,Revenue,43 - CHARGES FOR SERVICES,43225 - SPECIAL DUTY,-58596.03,-1622.94,0.00,0.00
30 -  FIRE,30114 - FIRE HAZARDOUS INCIDENT TEAM,Revenue,42 - INTERGOV REVENUES,42410 - OTHER UNIT OF GOV REVENUES OP,-57023.43,-61862.19,-56914.27,-45007.49
51 -  PARKS,51170 - PARK COM REC GOODMAN POOL,Revenue,43 - CHARGES FOR SERVICES,43520 - CATERING CONCESSIONS,-56546.23,-69904.24,-52557.31,-51682.19
51 -  PARKS,51180 - PARK COM REC OLBRICH GENERAL,Revenue,43 - CHARGES FOR SERVICES,43525 - ADMISSIONS,-56436.05,-76852.90,-79146.81,-86925.73
51 -  PARKS,51170 - PARK COM REC GOODMAN POOL,Revenue,43 - CHARGES FOR SERVICES,43540 - MEMBERSHIPS,-56200.12,-43825.66,-42420.48,-38127.14
51 -  PARKS,51247 - PARK MTC PARK RANGERS,Revenue,47 - MISC REVENUE,47190 - MISCELLANEOUS REVENUE,-56082.00,-30.00,0.00,0.00
50 -  LIBRARY,50224 - LIB COMM ENGAGE ALL AGES,Revenue,46 - INVEST OTHER CONTRIB,46310 - CONTRIBUTIONS AND DONATIONS,-55300.00,-190462.64,-421704.92,-24667.13
60 -  BUILDING INSPECTION,60100 - BI INSPECTION,Revenue,43 - CHARGES FOR SERVICES,43190 - MISCELLANEOUS CHRGS FOR SERVIC,-54635.00,-54782.00,-54345.00,-82300.00
40 -  ENGINEERING,40470 - ENG FAC MAINT ADMIN,Expense,58 - INTER DEPART BILLING,58145 - ID BILLING TO TRAFFIC ENGINEE,-54539.00,-54540.00,-54539.00,-54539.00
40 -  ENGINEERING,40470 - ENG FAC MAINT ADMIN,Expense,58 - INTER DEPART BILLING,58163 - ID BILLING TO ECONOMIC DEVELO,-54539.00,-54539.00,-59539.00,-59539.00
50 -  LIBRARY,50100751 - LIB PUBLIC SERVICE CENTRAL,Revenue,46 - INVEST OTHER CONTRIB,46310 - CONTRIBUTIONS AND DONATIONS,-52810.37,-96302.02,-2700.00,-6009.60
40 -  ENGINEERING,40470 - ENG FAC MAINT ADMIN,Expense,58 - INTER DEPART BILLING,58144 - ID BILLING TO STREETS,-52682.00,-55152.00,-55152.00,-55152.00
45 -  TRAFFIC ENGINEERING,45400 - TE COMM,Expense,58 - INTER DEPART BILLING,58185 - ID BILLING TO TRANSIT,-52505.88,-1141.52,-616.19,-90.68
40 -  ENGINEERING,40470 - ENG FAC MAINT ADMIN,Expense,58 - INTER DEPART BILLING,58191 - ID BILLING TO CDA,-51209.00,-51209.00,-51209.00,-51209.00
40 -  ENGINEERING,40145 - ENG STREETS DUTCH MILL PNR MNT,Revenue,47 - MISC REVENUE,47190 - MISCELLANEOUS REVENUE,-50000.00,-23509.00,-62299.16,-45395.38
45 -  TRAFFIC ENGINEERING,45200 - TE STLIGHT,Revenue,43 - CHARGES FOR SERVICES,43710 - REIMBURSEMENT OF EXPENSE,-47566.08,-42054.92,-78575.18,-43218.37
30 -  FIRE,30110 - FIRE GEN FIELD OP,Revenue,42 - INTERGOV REVENUES,42210 - STATE REVENUES OPERATING,-47469.00,0.00,0.00,0.00
51 -  PARKS,51170 - PARK COM REC GOODMAN POOL,Revenue,43 - CHARGES FOR SERVICES,43531 - LESSONS,-46996.36,-58580.58,-67252.36,-65929.28
40 -  ENGINEERING,40470 - ENG FAC MAINT ADMIN,Expense,58 - INTER DEPART BILLING,58183 - ID BILLING TO SEWER,-46917.00,-46917.00,-46917.00,-46917.00
45 -  TRAFFIC ENGINEERING,45200 - TE STLIGHT,Revenue,43 - CHARGES FOR SERVICES,43430 - TRAFFIC PRIVATE ENTITY,-46839.62,-20193.54,-17752.21,-10771.32
51 -  PARKS,51230 - PARK MTC FACILITY MAINTENANCE,Revenue,48 - OTHER FINANCE SOURCE,48115 - TRADE IN ALLOWANCE,-45800.00,-45800.00,-46300.00,-47484.60
30 -  FIRE,30110 - FIRE GEN FIELD OP,Revenue,43 - CHARGES FOR SERVICES,43710 - REIMBURSEMENT OF EXPENSE,-44871.24,-58561.23,-41825.03,-57251.32
45 -  TRAFFIC ENGINEERING,45100 - TE SIGNING,Revenue,43 - CHARGES FOR SERVICES,43710 - REIMBURSEMENT OF EXPENSE,-44205.47,-8847.19,-8165.58,-42039.57
45 -  TRAFFIC ENGINEERING,45881 - TE PED BIKE SAFETY EDUCATION,Revenue,42 - INTERGOV REVENUES,42110 - FEDERAL REVENUES OPERATING,-44007.20,-19770.53,0.00,0.00
50 -  LIBRARY,50100758 - LIB PUBLIC SERVICE SEQUOYA,Revenue,46 - INVEST OTHER CONTRIB,46310 - CONTRIBUTIONS AND DONATIONS,-42446.26,-220.00,-4092.00,-100.00
40 -  ENGINEERING,40470 - ENG FAC MAINT ADMIN,Expense,58 - INTER DEPART BILLING,58161 - ID BILLING TO COM DEV BLK GNT,-41703.00,-41703.00,-41703.00,-41703.00
31 -  POLICE,31110 - CANINE,Revenue,46 - INVEST OTHER CONTRIB,46310 - CONTRIBUTIONS AND DONATIONS,-41644.79,-44886.85,0.00,-500.00
50 -  LIBRARY,50224 - LIB COMM ENGAGE ALL AGES,Revenue,42 - INTERGOV REVENUES,42410 - OTHER UNIT OF GOV REVENUES OP,-39249.56,-19250.69,-90772.74,-9300.00
50 -  LIBRARY,50400751 - LIB FACILITIES CENTRAL,Revenue,43 - CHARGES FOR SERVICES,43522 - FACILITY RENTAL,-38971.17,-33430.94,-43662.96,-43730.80
40 -  ENGINEERING,40470 - ENG FAC MAINT ADMIN,Expense,58 - INTER DEPART BILLING,58162 - ID BILLING TO COMMUNITY DEVEL,-38090.00,-38090.00,-38090.00,-38090.00
40 -  ENGINEERING,40470 - ENG FAC MAINT ADMIN,Expense,58 - INTER DEPART BILLING,58117 - ID BILLING TO INFORMATION TEC,-37769.00,-37769.00,-969.00,-969.00
40 -  ENGINEERING,40470 - ENG FAC MAINT ADMIN,Expense,58 - INTER DEPART BILLING,58182 - ID BILLING TO PARKING,-37269.00,-37269.00,-37269.00,-37269.00
50 -  LIBRARY,50222 - LIB COMM ENGAGE TEEN,Revenue,46 - INVEST OTHER CONTRIB,46310 - CONTRIBUTIONS AND DONATIONS,-37000.00,-45641.88,0.00,0.00
45 -  TRAFFIC ENGINEERING,45500 - TE SIGNALS,Revenue,43 - CHARGES FOR SERVICES,43710 - REIMBURSEMENT OF EXPENSE,-36528.81,-43824.41,-66999.47,-92806.70
17 -  INFORMATION TECHNOLOGY,17200 - IT TECHNICAL SERVICES,Expense,58 - INTER DEPART BILLING,58182 - ID BILLING TO PARKING,-36300.00,-42420.00,-38784.00,-41580.00
30 -  FIRE,30120 - FIRE MEDICAL PROGRAM GENERAL,Revenue,43 - CHARGES FOR SERVICES,43710 - REIMBURSEMENT OF EXPENSE,-35082.66,-68401.98,-65905.55,-48118.26
16 -  HUMAN RESOURCES,16300 - HR ORGANIZATIONAL & HEALTH DEV,Revenue,43 - CHARGES FOR SERVICES,43190 - MISCELLANEOUS CHRGS FOR SERVIC,-34905.00,-25190.00,-26970.00,-9390.00
45 -  TRAFFIC ENGINEERING,45400 - TE COMM,Expense,58 - INTER DEPART BILLING,58151 - ID BILLING TO PARKS,-34768.37,-1623.26,-2509.82,-16.44
40 -  ENGINEERING,40470 - ENG FAC MAINT ADMIN,Expense,58 - INTER DEPART BILLING,58116 - ID BILLING TO HUMAN RESOURCES,-32867.00,-33767.00,-33767.00,-33767.00
45 -  TRAFFIC ENGINEERING,45400 - TE COMM,Expense,58 - INTER DEPART BILLING,58144 - ID BILLING TO STREETS,-32334.40,-32301.47,-35693.43,-30888.92
50 -  LIBRARY,50100751 - LIB PUBLIC SERVICE CENTRAL,Revenue,42 - INTERGOV REVENUES,42110 - FEDERAL REVENUES OPERATING,-32147.36,-26070.58,-26378.58,-19141.76
51 -  PARKS,51246 - PARK MTC CONSERVATION,Revenue,44 - LICENSES AND PERMITS,44290 - OTHER PERMITS,-31835.18,-50056.22,-24186.06,-37724.92
45 -  TRAFFIC ENGINEERING,45505 - TE SIGNALS MAINTENANCE,Expense,58 - INTER DEPART BILLING,58117 - ID BILLING TO INFORMATION TEC,-31500.91,0.00,0.00,0.00
62 -  COMMUNITY DEVELOPMENT,62551 - CD DIVISION 27 PRGM ADMIN,Revenue,47 - MISC REVENUE,47190 - MISCELLANEOUS REVENUE,-31343.76,-35322.82,-46800.12,-11765.99
45 -  TRAFFIC ENGINEERING,45500 - TE SIGNALS,Revenue,42 - INTERGOV REVENUES,42210 - STATE REVENUES OPERATING,-28665.00,-29288.05,-94631.96,-19893.77
40 -  ENGINEERING,40470 - ENG FAC MAINT ADMIN,Expense,58 - INTER DEPART BILLING,58184 - ID BILLING TO STORMWATER,-28536.00,-28536.00,-28536.00,-28536.00
45 -  TRAFFIC ENGINEERING,45400 - TE COMM,Expense,58 - INTER DEPART BILLING,58186 - ID BILLING TO WATER,-28477.98,-4600.39,-41.11,-14233.35
50 -  LIBRARY,50400751 - LIB FACILITIES CENTRAL,Revenue,43 - CHARGES FOR SERVICES,43520 - CATERING CONCESSIONS,-27621.21,-16588.19,-16142.53,-15147.03
40 -  ENGINEERING,40470 - ENG FAC MAINT ADMIN,Expense,58 - INTER DEPART BILLING,58141 - ID BILLING TO FLEET SERVICES,-27065.00,-27065.00,-27065.00,-27065.00
51 -  PARKS,51230 - PARK MTC FACILITY MAINTENANCE,Revenue,43 - CHARGES FOR SERVICES,43710 - REIMBURSEMENT OF EXPENSE,-27050.68,-43300.43,-57024.84,-12003.00
62 -  COMMUNITY DEVELOPMENT,62471 - SENIOR CENTER,Revenue,43 - CHARGES FOR SERVICES,43522 - FACILITY RENTAL,-26944.79,-24565.73,-25844.34,-23449.21
45 -  TRAFFIC ENGINEERING,45200 - TE STLIGHT,Expense,57 - INTER DEPART CHARGES,57140 - ID CHARGE FROM ENGINEERING,-26500.98,-23211.29,-7738.09,-24863.05
51 -  PARKS,51180 - PARK COM REC OLBRICH GENERAL,Revenue,43 - CHARGES FOR SERVICES,43520 - CATERING CONCESSIONS,-25677.66,-29652.66,-32469.63,-40724.51
51 -  PARKS,51185 - PARK COM REC OLBRICH PK BEAUTI,Revenue,49 - TRANSFER IN,49150 - TRANSFER IN FROM PERMANENT,-25478.00,-12909.47,-13650.08,-100.00
51 -  PARKS,51243 - PARK MTC CENTRAL PARKS,Revenue,43 - CHARGES FOR SERVICES,43522 - FACILITY RENTAL,-24992.62,-25311.63,-27654.13,-23531.16
44 -  STREETS,44220 - ST RECYCLING COLLECTION,Revenue,47 - MISC REVENUE,47190 - MISCELLANEOUS REVENUE,-24829.32,-12605.49,-14970.87,-14813.82
30 -  FIRE,30121 - FIRE MEDICAL PROGRAM STATE,Revenue,42 - INTERGOV REVENUES,42210 - STATE REVENUES OPERATING,-24649.20,-28347.03,-25265.66,-22655.95
30 -  FIRE,30251 - FIRE INSPECTION TANK PROGRAM,Revenue,42 - INTERGOV REVENUES,42210 - STATE REVENUES OPERATING,-24610.00,-24886.50,-28601.75,-29697.00
50 -  LIBRARY,50223 - LIB COM ENGAGE ADULT,Revenue,46 - INVEST OTHER CONTRIB,46310 - CONTRIBUTIONS AND DONATIONS,-24591.71,-14097.92,-24600.11,0.00
45 -  TRAFFIC ENGINEERING,45400 - TE COMM,Revenue,42 - INTERGOV REVENUES,42310 - LOCAL REVENUES OPERATING,-24442.07,-54327.28,-18287.86,-25991.83
51 -  PARKS,51190 - PARK COM REC WPCRC GENERAL,Revenue,43 - CHARGES FOR SERVICES,43525 - ADMISSIONS,-24427.19,-27138.36,-7185.74,-43255.85
62 -  COMMUNITY DEVELOPMENT,62472 - SENIOR CENTER FOUNDATION,Revenue,47 - MISC REVENUE,47190 - MISCELLANEOUS REVENUE,-22784.16,-20808.56,-17989.11,-16619.31
45 -  TRAFFIC ENGINEERING,45100 - TE SIGNING,Expense,58 - INTER DEPART BILLING,58185 - ID BILLING TO TRANSIT,-22315.85,-19477.23,-19965.63,-13279.01
65 -  PLANNING,65300 - PL METROPOLITAN PLANNING ORG,Revenue,42 - INTERGOV REVENUES,42310 - LOCAL REVENUES OPERATING,-21828.25,-41875.44,-15391.00,0.00
50 -  LIBRARY,50223 - LIB COM ENGAGE ADULT,Revenue,42 - INTERGOV REVENUES,42410 - OTHER UNIT OF GOV REVENUES OP,-21600.00,0.00,0.00,0.00
62 -  COMMUNITY DEVELOPMENT,62473 - SENIOR CENTER OASIS GRANT,Revenue,46 - INVEST OTHER CONTRIB,46310 - CONTRIBUTIONS AND DONATIONS,-21532.29,0.00,0.00,0.00
17 -  INFORMATION TECHNOLOGY,17200 - IT TECHNICAL SERVICES,Expense,58 - INTER DEPART BILLING,58150 - ID BILLING TO LIBRARY,-20990.00,-23028.00,-23028.00,-23940.00
50 -  LIBRARY,50300751 - LIB COL RES & ACCESS CENTRAL,Revenue,49 - TRANSFER IN,49124 - TRANSFER IN FROM OTHER RESTRIC,-20000.00,-20000.00,0.00,0.00
62 -  COMMUNITY DEVELOPMENT,62448 - CHILD CARE SERVICES,Revenue,47 - MISC REVENUE,47190 - MISCELLANEOUS REVENUE,-19460.00,-19610.00,-27188.25,-19490.00
62 -  COMMUNITY DEVELOPMENT,62331 - NBRHD CTRS AND CMTY GARDENS GF,Revenue,46 - INVEST OTHER CONTRIB,46310 - CONTRIBUTIONS AND DONATIONS,-18457.00,-18605.00,-18791.08,-19185.72
17 -  INFORMATION TECHNOLOGY,17200 - IT TECHNICAL SERVICES,Expense,58 - INTER DEPART BILLING,58184 - ID BILLING TO STORMWATER,-18145.00,-18180.00,-18180.00,-18900.00
11 -  ATTORNEY,11100 - ATTY ORDINANCE ENFORCEMENT,Revenue,47 - MISC REVENUE,47190 - MISCELLANEOUS REVENUE,-18057.01,-38956.98,-5683.69,-41625.66
45 -  TRAFFIC ENGINEERING,45505 - TE SIGNALS MAINTENANCE,Expense,58 - INTER DEPART BILLING,58182 - ID BILLING TO PARKING,-17998.50,-3842.66,0.00,0.00
51 -  PARKS,51190 - PARK COM REC WPCRC GENERAL,Revenue,43 - CHARGES FOR SERVICES,43520 - CATERING CONCESSIONS,-17714.67,-24148.29,-27587.94,-24153.18
45 -  TRAFFIC ENGINEERING,45101 - TE SIGNING ADMIN,Revenue,47 - MISC REVENUE,47190 - MISCELLANEOUS REVENUE,-17452.96,-22124.96,-30008.99,-25211.15
40 -  ENGINEERING,40113 - ENG ADMIN FLEET MAINTENANCE,Expense,58 - INTER DEPART BILLING,58183 - ID BILLING TO SEWER,-17247.10,-4438.34,-6589.20,0.00
51 -  PARKS,51160 - PARK COM REC REC SERVICES,Revenue,46 - INVEST OTHER CONTRIB,46310 - CONTRIBUTIONS AND DONATIONS,-16650.65,-20000.00,-3137.01,-3500.00
40 -  ENGINEERING,40470 - ENG FAC MAINT ADMIN,Expense,58 - INTER DEPART BILLING,58164 - ID BILLING TO OFFICE OF DIR PL,-16245.00,-16245.00,-16245.00,-16245.00
50 -  LIBRARY,50100755 - LIB PUBLIC SERVICE MEADOWRIDGE,Revenue,46 - INVEST OTHER CONTRIB,46310 - CONTRIBUTIONS AND DONATIONS,-15975.00,-20.00,-1025.00,-325.00
65 -  PLANNING,65300 - PL METROPOLITAN PLANNING ORG,Revenue,42 - INTERGOV REVENUES,42410 - OTHER UNIT OF GOV REVENUES OP,-15839.33,-8982.50,-3000.00,0.00
17 -  INFORMATION TECHNOLOGY,17200 - IT TECHNICAL SERVICES,Expense,58 - INTER DEPART BILLING,58183 - ID BILLING TO SEWER,-15726.00,-15726.00,-15726.00,-16380.00
45 -  TRAFFIC ENGINEERING,45505 - TE SIGNALS MAINTENANCE,Revenue,49 - TRANSFER IN,49221 - TRANSFER IN FROM INSURANCE,-15386.62,0.00,-61335.77,-26270.20
15 -  FINANCE,15100 - FIN ACCOUNTING,Revenue,47 - MISC REVENUE,47190 - MISCELLANEOUS REVENUE,-15240.83,-15000.00,-15000.00,-15000.00
