Organization,Agency,Service,Subservice,Location
30110712 - FIRE GEN FIELD OP STATION 12,30 -  FIRE,301 -  FIRE OPERATIONS,3010 -  GENERAL FIELD OPERATIONS,0712 -  FIRE STATION 12
30110713 - FIRE GEN FIELD OP STATION 13,30 -  FIRE,301 -  FIRE OPERATIONS,3010 -  GENERAL FIELD OPERATIONS,0713 -  FIRE STATION 13
30110714 - FIRE GEN FIELD OP STATION 14,30 -  FIRE,301 -  FIRE OPERATIONS,3010 -  GENERAL FIELD OPERATIONS,0714 -  FIRE DUTCH MILL ROAD
30110720 - FIRE GEN FIELD OP ADMIN,30 -  FIRE,301 -  FIRE OPERATIONS,3010 -  GENERAL FIELD OPERATIONS,0720 -  FIRE ADMINISTRATION
30110721 - FIRE GEN FIELD OP MAINT FAC,30 -  FIRE,301 -  FIRE OPERATIONS,3010 -  GENERAL FIELD OPERATIONS,0721 -  FIRE MAINTENANCE FACILITY
30110722 - FIRE GEN FIELD OP TRAINING,30 -  FIRE,301 -  FIRE OPERATIONS,3010 -  GENERAL FIELD OPERATIONS,0722 -  FIRE TRAINING
30110723 - FIRE GEN FIELD OP EMS TRAINING,30 -  FIRE,301 -  FIRE OPERATIONS,3010 -  GENERAL FIELD OPERATIONS,0723 -  FIRE EMS TRAINING
30110724 - FIRE GEN FLD OP COM OUTR EDC C,30 -  FIRE,301 -  FIRE OPERATIONS,3010 -  GENERAL FIELD OPERATIONS,0724 -  FIRE COMMUNITY OUTREACH CENTER
30111 - FIRE LAKE RESCUE,30 -  FIRE,301 -  FIRE OPERATIONS,3011 -  LAKE RESCUE,0000 -  UNDEFINED
30112 - FIRE FITNESS WELLNESS,30 -  FIRE,301 -  FIRE OPERATIONS,3012 -  FITNESS WELLNESS,0000 -  UNDEFINED
30113 - FIRE HEAVY URBAN RESCUE TEAM,30 -  FIRE,301 -  FIRE OPERATIONS,3013 -  HEAVY URBAN RESCUE TEAM,0000 -  UNDEFINED
30114 - FIRE HAZARDOUS INCIDENT TEAM,30 -  FIRE,301 -  FIRE OPERATIONS,3014 -  HAZARDOUS INCIDENT TEAM,0000 -  UNDEFINED
30115 - FIRE TACT EMER MED SER TEAM,30 -  FIRE,301 -  FIRE OPERATIONS,3015 -  TACTICAL EMER MEDICAL SER TEAM,0000 -  UNDEFINED
30120 - FIRE MEDICAL PROGRAM GENERAL,30 -  FIRE,301 -  FIRE OPERATIONS,3020 -  MEDICAL PROGRAM GENERAL,0000 -  UNDEFINED
30121 - FIRE MEDICAL PROGRAM STATE,30 -  FIRE,301 -  FIRE OPERATIONS,3021 -  MEDICAL PROGRAM STATE,0000 -  UNDEFINED
30122 - FIRE COMMUNITY PARAMEDICINE,30 -  FIRE,301 -  FIRE OPERATIONS,3022 -  COMMUNITY PARAMEDICINE,0000 -  UNDEFINED
30130 - FIRE APPLICANT RECRUITMENT,30 -  FIRE,301 -  FIRE OPERATIONS,3030 -  APPLICANT RECRUITMENT,0000 -  UNDEFINED
30131 - FIRE APPLICANT TESTING,30 -  FIRE,301 -  FIRE OPERATIONS,3031 -  APPLICANT TESTING,0000 -  UNDEFINED
30132 - FIRE APPLICANT HIRE AND TRAINI,30 -  FIRE,301 -  FIRE OPERATIONS,3032 -  APPLICANT HIRE AND TRAINING,0000 -  UNDEFINED
30133 - FIRE APPLICANT PROMOTION,30 -  FIRE,301 -  FIRE OPERATIONS,3033 -  APPLICANT PROMOTION,0000 -  UNDEFINED
30240 - FIRE GENERAL PREVENTION,30 -  FIRE,302 -  FIRE PREVENTION,3040 -  GENERAL PREVENTION,0000 -  UNDEFINED
30250 - FIRE INSPECTION GENERAL,30 -  FIRE,302 -  FIRE PREVENTION,3050 -  INSPECTION GENERAL,0000 -  UNDEFINED
30251 - FIRE INSPECTION TANK PROGRAM,30 -  FIRE,302 -  FIRE PREVENTION,3051 -  INSPECTION TANK PROGRAM,0000 -  UNDEFINED
30252 - FIRE INSPECTION ELEVATOR,30 -  FIRE,302 -  FIRE PREVENTION,3052 -  INSPECTION ELEVATOR,0000 -  UNDEFINED
30260 - FIRE COMMUNITY EDUCATION,30 -  FIRE,302 -  FIRE PREVENTION,3060 -  COMMUNITY EDUCATION,0000 -  UNDEFINED
30270 - FIRE INVESTIGATION,30 -  FIRE,302 -  FIRE PREVENTION,3070 -  INVESTIGATION,0000 -  UNDEFINED
30280 - FIRE COMMUNITY OUTREACH & EDUC,30 -  FIRE,302 -  FIRE PREVENTION,3080 -  COMMUNITY OUTREACH & EDUCATION,0000 -  UNDEFINED
31100 - POLICE FIELD,31 -  POLICE,311 -  POLICE FIELD,0000 -  UNDEFINED,0000 -  UNDEFINED
31101 - SPECIAL DUTY,31 -  POLICE,311 -  POLICE FIELD,3101 -  SPECIAL DUTY,0000 -  UNDEFINED
31102 - FIELD GENERAL OVERALL,31 -  POLICE,311 -  POLICE FIELD,3102 -  FIELD GENERAL OVERALL,0000 -  UNDEFINED
31102650 - MIDTOWN PD FIELD,31 -  POLICE,311 -  POLICE FIELD,3102 -  FIELD GENERAL OVERALL,0650 -  MIDTOWN
31102651 - CENTRAL PD FIELD,31 -  POLICE,311 -  POLICE FIELD,3102 -  FIELD GENERAL OVERALL,0651 -  CENTRAL
31102652 - EAST PD FIELD,31 -  POLICE,311 -  POLICE FIELD,3102 -  FIELD GENERAL OVERALL,0652 -  EAST
31102653 - NORTH PD FIELD,31 -  POLICE,311 -  POLICE FIELD,3102 -  FIELD GENERAL OVERALL,0653 -  NORTH
31102654 - SOUTH PD FIELD,31 -  POLICE,311 -  POLICE FIELD,3102 -  FIELD GENERAL OVERALL,0654 -  SOUTH
31102655 - WEST PD FIELD,31 -  POLICE,311 -  POLICE FIELD,3102 -  FIELD GENERAL OVERALL,0655 -  WEST
31102665 - HEADQUARTERS FIELD,31 -  POLICE,311 -  POLICE FIELD,3102 -  FIELD GENERAL OVERALL,0665 -  HEADQUARTERS
31103 - COMMUNITY OUTREACH,31 -  POLICE,311 -  POLICE FIELD,3103 -  COMMUNITY OUTREACH,0000 -  UNDEFINED
31105 - SWAT,31 -  POLICE,311 -  POLICE FIELD,3105 -  SWAT,0000 -  UNDEFINED
31106 - SET,31 -  POLICE,311 -  POLICE FIELD,3106 -  SET,0000 -  UNDEFINED
31110 - CANINE,31 -  POLICE,311 -  POLICE FIELD,3110 -  CANINE,0000 -  UNDEFINED
31111 - MOUNTED,31 -  POLICE,311 -  POLICE FIELD,3111 -  MOUNTED,0000 -  UNDEFINED
31114 - CENTRALIZED FIELD SERVICES,31 -  POLICE,311 -  POLICE FIELD,3114 -  OPERATIONS EXEC,0000 -  UNDEFINED
31115 - MIDTOWN,31 -  POLICE,311 -  POLICE FIELD,3115 -  MIDTOWN,0000 -  UNDEFINED
31120 - CENTRAL,31 -  POLICE,311 -  POLICE FIELD,3120 -  CENTRAL,0000 -  UNDEFINED
31125 - EAST,31 -  POLICE,311 -  POLICE FIELD,3125 -  EAST,0000 -  UNDEFINED
31130 - NORTH,31 -  POLICE,311 -  POLICE FIELD,3130 -  NORTH,0000 -  UNDEFINED
31135 - SOUTH,31 -  POLICE,311 -  POLICE FIELD,3135 -  SOUTH,0000 -  UNDEFINED
31140 - WEST,31 -  POLICE,311 -  POLICE FIELD,3140 -  WEST,0000 -  UNDEFINED
31140661 - ALLIED,31 -  POLICE,311 -  POLICE FIELD,3140 -  WEST,0661 -  ALLIED
31140662 - WEXFORD,31 -  POLICE,311 -  POLICE FIELD,3140 -  WEST,0662 -  WEXFORD
31140663 - RAYMOND,31 -  POLICE,311 -  POLICE FIELD,3140 -  WEST,0663 -  RAYMOND
31145 - INVESTIGATIVE SUPPORT GENERAL,31 -  POLICE,311 -  POLICE FIELD,3145 -  INVESTIGATIVE SUPPORT GENERAL,0000 -  UNDEFINED
31146 - SPECIAL INVESTIGATIONS UNITS,31 -  POLICE,311 -  POLICE FIELD,3146 -  SPECIAL INVESTIGATIONS UNIT,0000 -  UNDEFINED
31147 - CRIME PREVENTION AND GANG UNIT,31 -  POLICE,311 -  POLICE FIELD,3147 -  CRIME PREVENTION AND GANG UNIT,0000 -  UNDEFINED
31148 - EMERGENCY PREPAREDNESS,31 -  POLICE,311 -  POLICE FIELD,3148 -  EMERGENCY PREPAREDNESS,0000 -  UNDEFINED
31149 - TASK FORCE,31 -  POLICE,311 -  POLICE FIELD,3149 -  TASK FORCE,0000 -  UNDEFINED
31153 - FORENSICS,31 -  POLICE,311 -  POLICE FIELD,3153 -  FORENSICS,0000 -  UNDEFINED
31153659 - 1ST ST FORENSICS,31 -  POLICE,311 -  POLICE FIELD,3153 -  FORENSICS,0659 -  1ST ST FORENSICS
31155 - TRAFFIC AND SPECIAL SERVICES,31 -  POLICE,311 -  POLICE FIELD,3155 -  TRAFFIC AND SPECIAL SERVICES,0000 -  UNDEFINED
31156 - PARKING,31 -  POLICE,311 -  POLICE FIELD,3156 -  PARKING,0000 -  UNDEFINED
31157 - CROSSING GUARDS,31 -  POLICE,311 -  POLICE FIELD,3157 -  CROSSING GUARDS,0000 -  UNDEFINED
31165 - TRAINING SERVICES GENERAL,31 -  POLICE,311 -  POLICE FIELD,3165 -  TRAINING SERVICES GENERAL,0000 -  UNDEFINED
31166 - TRAINING CENTER,31 -  POLICE,311 -  POLICE FIELD,3166 -  TRAINING CENTER,0000 -  UNDEFINED
31166657 - TRAINING CENTER BLDG,31 -  POLICE,311 -  POLICE FIELD,3166 -  TRAINING CENTER,0657 -  TRAINING CENTER
31169 - RECRUITMENT AND HIRING,31 -  POLICE,311 -  POLICE FIELD,3169 -  RECRUITMENT AND HIRING,0000 -  UNDEFINED
31170 - ACADEMY,31 -  POLICE,311 -  POLICE FIELD,3170 -  ACADEMY,0000 -  UNDEFINED
31172 - INSERVICE,31 -  POLICE,311 -  POLICE FIELD,3172 -  INSERVICE,0000 -  UNDEFINED
31174 - SAFETY ED,31 -  POLICE,311 -  POLICE FIELD,3174 -  SAFETY ED,0000 -  UNDEFINED
31200 - POLICE SUPPORT,31 -  POLICE,312 -  POLICE SUPPORT,0000 -  UNDEFINED,0000 -  UNDEFINED
31278 - PERSONNEL,31 -  POLICE,312 -  POLICE SUPPORT,3178 -  PERSONNEL,0000 -  UNDEFINED
31280 - INFO MGT AND TECHNOLOGY,31 -  POLICE,312 -  POLICE SUPPORT,3180 -  INFO MGT AND TECHNOLOGY,0000 -  UNDEFINED
31283 - GENERAL ADMINISTRATION,31 -  POLICE,312 -  POLICE SUPPORT,3183 -  GENERAL ADMINISTRATION,0000 -  UNDEFINED
31290 - FINANCE,31 -  POLICE,312 -  POLICE SUPPORT,3190 -  FINANCE,0000 -  UNDEFINED
31292 - RECORDS GENERAL,31 -  POLICE,312 -  POLICE SUPPORT,3192 -  RECORDS GENERAL,0000 -  UNDEFINED
31294 - PROPERTY,31 -  POLICE,312 -  POLICE SUPPORT,3194 -  PROPERTY,0000 -  UNDEFINED
31294656 - MARSH COURT,31 -  POLICE,312 -  POLICE SUPPORT,3194 -  PROPERTY,0656 -  MARSH COURT
31294658 - 1ST ST PROPERTY,31 -  POLICE,312 -  POLICE SUPPORT,3194 -  PROPERTY,0658 -  1ST ST PROPERTY
31294660 - 1ST ST BICYCLES,31 -  POLICE,312 -  POLICE SUPPORT,3194 -  PROPERTY,0660 -  1ST ST BICYCLES
31297 - HONOR GUARD,31 -  POLICE,312 -  POLICE SUPPORT,3197 -  HONOR GUARD,0000 -  UNDEFINED
31299 - SUPPORT GENERAL OVERALL,31 -  POLICE,312 -  POLICE SUPPORT,3199 -  SUPPORT GENERAL OVERALL,0000 -  UNDEFINED
31299650 - MIDTOWN PD SUPPORT,31 -  POLICE,312 -  POLICE SUPPORT,3199 -  SUPPORT GENERAL OVERALL,0650 -  MIDTOWN
31299651 - CENTRAL PD SUPPORT,31 -  POLICE,312 -  POLICE SUPPORT,3199 -  SUPPORT GENERAL OVERALL,0651 -  CENTRAL
31299652 - EAST PD SUPPORT,31 -  POLICE,312 -  POLICE SUPPORT,3199 -  SUPPORT GENERAL OVERALL,0652 -  EAST
31299653 - NORTH PD SUPPORT,31 -  POLICE,312 -  POLICE SUPPORT,3199 -  SUPPORT GENERAL OVERALL,0653 -  NORTH
31299654 - SOUTH PD SUPPORT,31 -  POLICE,312 -  POLICE SUPPORT,3199 -  SUPPORT GENERAL OVERALL,0654 -  SOUTH
31299655 - WEST PD SUPPORT,31 -  POLICE,312 -  POLICE SUPPORT,3199 -  SUPPORT GENERAL OVERALL,0655 -  WEST
31299665 - HEADQUARTERS SUPPORT,31 -  POLICE,312 -  POLICE SUPPORT,3199 -  SUPPORT GENERAL OVERALL,0665 -  HEADQUARTERS
40110 - ENG ADMIN DIVISION,40 -  ENGINEERING,401 -  ENGINEERING AND ADMINISTRATION,4010 -  ADMIN  DIVISION,0000 -  UNDEFINED
40111 - ENG ADMIN EMPLOYEE LEAVE,40 -  ENGINEERING,401 -  ENGINEERING AND ADMINISTRATION,4011 -  ADMIN  EMPLOYEE LEAVE,0000 -  UNDEFINED
40112 - ENG ADMIN SERVICE BUILDING MTC,40 -  ENGINEERING,401 -  ENGINEERING AND ADMINISTRATION,4012 -  ADMIN  SERVICE BUILDING MAINTE,0000 -  UNDEFINED
40113 - ENG ADMIN FLEET MAINTENANCE,40 -  ENGINEERING,401 -  ENGINEERING AND ADMINISTRATION,4013 -  ADMIN  FLEET MAINTENANCE,0000 -  UNDEFINED
40114 - ENG ADMIN CONTRACT MANAGEMENT,40 -  ENGINEERING,401 -  ENGINEERING AND ADMINISTRATION,4014 -  ADMIN  CONTRACT MANAGEMENT,0000 -  UNDEFINED
40115 - ENG ADMIN PRIVATE DEVELOPMENT,40 -  ENGINEERING,401 -  ENGINEERING AND ADMINISTRATION,4015 -  ADMIN  PRIVATE DEVELOPMENT,0000 -  UNDEFINED
40116 - ENG ADMIN INSPECTION SURVEY,40 -  ENGINEERING,401 -  ENGINEERING AND ADMINISTRATION,4016 -  ADMIN  INSPECTION & SURVEY,0000 -  UNDEFINED
40117 - ENG ADMIN EXCAVATION PERMIT,40 -  ENGINEERING,401 -  ENGINEERING AND ADMINISTRATION,4017 -  ADMIN  EXCAVATION PERMIT,0000 -  UNDEFINED
40118 - ENG ADMIN BRIDGE MAINTENANCE,40 -  ENGINEERING,401 -  ENGINEERING AND ADMINISTRATION,4018 -  ADMIN BRIDGE MAINTENANCE,0000 -  UNDEFINED
40119 - ENG ADMIN STREET MAINTENANCE,40 -  ENGINEERING,401 -  ENGINEERING AND ADMINISTRATION,4019 -  ADMIN STREET MAINTENANCE,0000 -  UNDEFINED
40120 - ENG STREETS ADMIN,40 -  ENGINEERING,401 -  ENGINEERING AND ADMINISTRATION,4020 -  STREETS  ADMIN,0000 -  UNDEFINED
40121 - ENG STREETS GENERAL,40 -  ENGINEERING,401 -  ENGINEERING AND ADMINISTRATION,4021 -  STREETS  GENERAL,0000 -  UNDEFINED
40122 - ENG STREETS DESIGN,40 -  ENGINEERING,401 -  ENGINEERING AND ADMINISTRATION,4022 -  STREETS  DESIGN,0000 -  UNDEFINED
40123 - ENG STREETS INSPECT,40 -  ENGINEERING,401 -  ENGINEERING AND ADMINISTRATION,4023 -  STREETS  INSPECT,0000 -  UNDEFINED
40124 - ENG STREETS SURVEY,40 -  ENGINEERING,401 -  ENGINEERING AND ADMINISTRATION,4024 -  STREETS  SURVEY,0000 -  UNDEFINED
40125 - ENG STREETS SNOW PLOWING,40 -  ENGINEERING,401 -  ENGINEERING AND ADMINISTRATION,4025 -  STREETS SNOW PLOWING,0000 -  UNDEFINED
40126 - ENG STREETS FENCE MAINTENANCE,40 -  ENGINEERING,401 -  ENGINEERING AND ADMINISTRATION,4026 -  STREETS  FENCE MAINTENANCE,0000 -  UNDEFINED
40127 - ENG STREETS PAVEMENT RATING,40 -  ENGINEERING,401 -  ENGINEERING AND ADMINISTRATION,4027 -  STREETS  PAVEMENT RATING,0000 -  UNDEFINED
40128 - ENG STREETS BRIDGE INSPECTION,40 -  ENGINEERING,401 -  ENGINEERING AND ADMINISTRATION,4028 -  STREETS  BRIDGE INSPECTION,0000 -  UNDEFINED
40129 - ENG STREETS EXCAVATION PERMIT,40 -  ENGINEERING,401 -  ENGINEERING AND ADMINISTRATION,4029 -  STREETS  EXCAVATION PERMIT,0000 -  UNDEFINED
40130 - ENG SIDEWALKS ADMIN,40 -  ENGINEERING,401 -  ENGINEERING AND ADMINISTRATION,4030 -  SIDEWALKS  ADMIN,0000 -  UNDEFINED
40131 - ENG SIDEWALKS GENERAL,40 -  ENGINEERING,401 -  ENGINEERING AND ADMINISTRATION,4031 -  SIDEWALKS  GENERAL,0000 -  UNDEFINED
40132 - ENG SIDEWALKS DESIGN,40 -  ENGINEERING,401 -  ENGINEERING AND ADMINISTRATION,4032 -  SIDEWALKS  DESIGN,0000 -  UNDEFINED
40133 - ENG SIDEWALKS INSPECT,40 -  ENGINEERING,401 -  ENGINEERING AND ADMINISTRATION,4033 -  SIDEWALKS  INSPECT,0000 -  UNDEFINED
40134 - ENG SIDEWALKS SURVEY,40 -  ENGINEERING,401 -  ENGINEERING AND ADMINISTRATION,4034 -  SIDEWALKS  SURVEY,0000 -  UNDEFINED
40135 - ENG SIDEWALKS OCCUP PERMIT,40 -  ENGINEERING,401 -  ENGINEERING AND ADMINISTRATION,4035 -  SIDEWALKS  OCCUPANCY PERMIT,0000 -  UNDEFINED
